Common_Name,Scientific_Name,Habitat,Location_Type,Plot_Name,Admin_Unit,Year,Date,Month,Month_Name,Season,Start_Time,Start_Hour,End_Time,Sex,Distance,Temperature,Humidity,Sky,Wind,Disturbance,PIF_Watchlist_Status,Regional_Stewardship_Status,AOU_Code,Observer,Visit,Interval_Length,ID_Method,Flyover_Observed,Taxon_Code
Eastern Towhee,Pipilo erythrophthalmus,Forest,Forest,ANTI-0078,ANTI,2018,2018-05-22,5,May,Spring,07:21:00,7,07:31:00,Undetermined,<= 50 Meters,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,True,EATO,Kimberly Serno,1,5 - 7.5 min,Singing,False,83803.0
Field Sparrow,Spizella pusilla,Forest,Forest,ANTI-0078,ANTI,2018,2018-05-22,5,May,Spring,07:21:00,7,07:31:00,Undetermined,50 - 100 Meters,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,True,FISP,Kimberly Serno,1,0-2.5 min,Singing,False,84790.0
Blue-gray Gnatcatcher,Polioptila caerulea,Forest,Forest,ANTI-0078,ANTI,2018,2018-05-22,5,May,Spring,07:21:00,7,07:31:00,Undetermined,<= 50 Meters,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,False,BGGN,Kimberly Serno,1,5 - 7.5 min,Calling,False,88038.0
Carolina Chickadee,Poecile carolinensis,Forest,Forest,ANTI-0078,ANTI,2018,2018-05-22,5,May,Spring,07:21:00,7,07:31:00,Undetermined,<= 50 Meters,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,True,CACH,Kimberly Serno,1,2.5 - 5 min,Calling,False,265876.0
Cedar Waxwing,Bombycilla cedrorum,Forest,Forest,ANTI-0078,ANTI,2018,2018-05-22,5,May,Spring,07:21:00,7,07:31:00,Undetermined,<= 50 Meters,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,False,CEDW,Kimberly Serno,1,5 - 7.5 min,Calling,False,88296.0
Eastern Towhee,Pipilo erythrophthalmus,Forest,Forest,ANTI-0078,ANTI,2018,2018-05-22,5,May,Spring,07:21:00,7,07:31:00,Undetermined,50 - 100 Meters,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,False,True,EATO,Kimberly Serno,1,2.5 - 5 min,Singing,False,83803.0
Blue Jay,Cyanocitta cristata,Forest,Forest,ANTI-0025,ANTI,2018,2018-05-23,5,May,Spring,08:28:00,8,08:38:00,Undetermined,50 - 100 Meters,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,False,BLJA,Elizabeth Oswald,1,0-2.5 min,Calling,False,86252.0
Eastern Bluebird,Sialia sialis,Forest,Forest,ANTI-0025,ANTI,2018,2018-05-23,5,May,Spring,08:28:00,8,08:38:00,Undetermined,<= 50 Meters,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,False,EABL,Elizabeth Oswald,1,7.5 - 10 min,Visualization,False,87184.0
American Goldfinch,Spinus tristis,Forest,Forest,ANTI-0025,ANTI,2018,2018-05-23,5,May,Spring,08:28:00,8,08:38:00,Undetermined,50 - 100 Meters,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,False,AMGO,Elizabeth Oswald,1,0-2.5 min,Calling,False,95300.0
Cedar Waxwing,Bombycilla cedrorum,Forest,Forest,ANTI-0025,ANTI,2018,2018-05-23,5,May,Spring,08:28:00,8,08:38:00,Undetermined,Unknown,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,False,CEDW,Elizabeth Oswald,1,0-2.5 min,Visualization,True,88296.0
Field Sparrow,Spizella pusilla,Forest,Forest,ANTI-0025,ANTI,2018,2018-05-23,5,May,Spring,08:28:00,8,08:38:00,Undetermined,50 - 100 Meters,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,True,FISP,Elizabeth Oswald,1,0-2.5 min,Singing,False,84790.0
Indigo Bunting,Passerina cyanea,Forest,Forest,ANTI-0025,ANTI,2018,2018-05-23,5,May,Spring,08:28:00,8,08:38:00,Undetermined,50 - 100 Meters,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,True,INBU,Elizabeth Oswald,1,2.5 - 5 min,Singing,False,94257.0
Red-winged Blackbird,Agelaius phoeniceus,Forest,Forest,ANTI-0025,ANTI,2018,2018-05-23,5,May,Spring,08:28:00,8,08:38:00,Undetermined,Unknown,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,False,RWBL,Elizabeth Oswald,1,5 - 7.5 min,Visualization,True,93613.0
Northern Mockingbird,Mimus polyglottos,Forest,Forest,ANTI-0025,ANTI,2018,2018-05-23,5,May,Spring,08:28:00,8,08:38:00,Undetermined,50 - 100 Meters,28.5,66.0,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,False,False,NOMO,Elizabeth Oswald,1,2.5 - 5 min,Singing,False,88394.0
Carolina Wren,Thryothorus ludovicianus,Forest,Forest,ANTI-0052,ANTI,2018,2018-05-23,5,May,Spring,09:26:00,9,09:36:00,Undetermined,50 - 100 Meters,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,False,CARW,Elizabeth Oswald,1,0-2.5 min,Calling,False,88350.0
Eastern Tufted Titmouse,Baeolophus bicolor,Forest,Forest,ANTI-0052,ANTI,2018,2018-05-23,5,May,Spring,09:26:00,9,09:36:00,Undetermined,<= 50 Meters,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,False,ETTI,Elizabeth Oswald,1,5 - 7.5 min,Singing,False,266957.0
Pileated Woodpecker,Dryocopus pileatus,Forest,Forest,ANTI-0052,ANTI,2018,2018-05-23,5,May,Spring,09:26:00,9,09:36:00,Male,<= 50 Meters,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,False,PIWO,Elizabeth Oswald,1,7.5 - 10 min,Visualization,False,84833.0
Pileated Woodpecker,Dryocopus pileatus,Forest,Forest,ANTI-0052,ANTI,2018,2018-05-23,5,May,Spring,09:26:00,9,09:36:00,Undetermined,<= 50 Meters,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,False,PIWO,Elizabeth Oswald,1,7.5 - 10 min,Visualization,False,84833.0
Northern Cardinal,Cardinalis cardinalis,Forest,Forest,ANTI-0052,ANTI,2018,2018-05-23,5,May,Spring,09:26:00,9,09:36:00,Undetermined,<= 50 Meters,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,False,NOCA,Elizabeth Oswald,1,0-2.5 min,Singing,False,94228.0
Northern Cardinal,Cardinalis cardinalis,Forest,Forest,ANTI-0052,ANTI,2018,2018-05-23,5,May,Spring,09:26:00,9,09:36:00,Undetermined,<= 50 Meters,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,False,NOCA,Elizabeth Oswald,1,0-2.5 min,Calling,False,94228.0
Brown-headed Cowbird,Molothrus ater,Forest,Forest,ANTI-0052,ANTI,2018,2018-05-23,5,May,Spring,09:26:00,9,09:36:00,Undetermined,<= 50 Meters,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,False,BHCO,Elizabeth Oswald,1,5 - 7.5 min,Visualization,False,94215.0
Field Sparrow,Spizella pusilla,Forest,Forest,ANTI-0052,ANTI,2018,2018-05-23,5,May,Spring,09:26:00,9,09:36:00,Undetermined,50 - 100 Meters,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,True,FISP,Elizabeth Oswald,1,5 - 7.5 min,Singing,False,84790.0
Eastern Tufted Titmouse,Baeolophus bicolor,Forest,Forest,ANTI-0052,ANTI,2018,2018-05-23,5,May,Spring,09:26:00,9,09:36:00,Undetermined,50 - 100 Meters,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,False,ETTI,Elizabeth Oswald,1,2.5 - 5 min,Singing,False,266957.0
Eastern Wood-Pewee,Contopus virens,Forest,Forest,ANTI-0052,ANTI,2018,2018-05-23,5,May,Spring,09:26:00,9,09:36:00,Undetermined,50 - 100 Meters,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,True,EAWP,Elizabeth Oswald,1,5 - 7.5 min,Singing,False,85846.0
Cedar Waxwing,Bombycilla cedrorum,Forest,Forest,ANTI-0052,ANTI,2018,2018-05-23,5,May,Spring,09:26:00,9,09:36:00,Undetermined,<= 50 Meters,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,False,CEDW,Elizabeth Oswald,1,0-2.5 min,Singing,False,88296.0
Blue-gray Gnatcatcher,Polioptila caerulea,Forest,Forest,ANTI-0052,ANTI,2018,2018-05-23,5,May,Spring,09:26:00,9,09:36:00,Undetermined,<= 50 Meters,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,False,BGGN,Elizabeth Oswald,1,0-2.5 min,Calling,False,88038.0
Brown-headed Cowbird,Molothrus ater,Forest,Forest,ANTI-0052,ANTI,2018,2018-05-23,5,May,Spring,09:26:00,9,09:36:00,Male,<= 50 Meters,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,False,False,BHCO,Elizabeth Oswald,1,5 - 7.5 min,Visualization,False,94215.0
Cedar Waxwing,Bombycilla cedrorum,Forest,Forest,ANTI-0072,ANTI,2018,2018-05-23,5,May,Spring,10:01:00,10,10:11:00,Undetermined,<= 50 Meters,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,False,CEDW,Elizabeth Oswald,1,0-2.5 min,Singing,False,88296.0
Carolina Wren,Thryothorus ludovicianus,Forest,Forest,ANTI-0072,ANTI,2018,2018-05-23,5,May,Spring,10:01:00,10,10:11:00,Undetermined,50 - 100 Meters,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,False,CARW,Elizabeth Oswald,1,0-2.5 min,Singing,False,88350.0
Carolina Chickadee,Poecile carolinensis,Forest,Forest,ANTI-0072,ANTI,2018,2018-05-23,5,May,Spring,10:01:00,10,10:11:00,Undetermined,50 - 100 Meters,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,True,CACH,Elizabeth Oswald,1,5 - 7.5 min,Singing,False,265876.0
Eastern Tufted Titmouse,Baeolophus bicolor,Forest,Forest,ANTI-0072,ANTI,2018,2018-05-23,5,May,Spring,10:01:00,10,10:11:00,Undetermined,<= 50 Meters,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,False,ETTI,Elizabeth Oswald,1,0-2.5 min,Calling,False,266957.0
Northern Cardinal,Cardinalis cardinalis,Forest,Forest,ANTI-0072,ANTI,2018,2018-05-23,5,May,Spring,10:01:00,10,10:11:00,Undetermined,50 - 100 Meters,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,False,NOCA,Elizabeth Oswald,1,0-2.5 min,Singing,False,94228.0
Red-bellied Woodpecker,Melanerpes carolinus,Forest,Forest,ANTI-0072,ANTI,2018,2018-05-23,5,May,Spring,10:01:00,10,10:11:00,Undetermined,50 - 100 Meters,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,False,RBWO,Elizabeth Oswald,1,0-2.5 min,Calling,False,84865.0
Red-eyed Vireo,Vireo olivaceus,Forest,Forest,ANTI-0072,ANTI,2018,2018-05-23,5,May,Spring,10:01:00,10,10:11:00,Undetermined,50 - 100 Meters,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,False,REVI,Elizabeth Oswald,1,2.5 - 5 min,Singing,False,93587.0
Eastern Bluebird,Sialia sialis,Forest,Forest,ANTI-0072,ANTI,2018,2018-05-23,5,May,Spring,10:01:00,10,10:11:00,Undetermined,50 - 100 Meters,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,False,EABL,Elizabeth Oswald,1,0-2.5 min,Calling,False,87184.0
Unidentified Chickadee,Poecile,Forest,Forest,ANTI-0072,ANTI,2018,2018-05-23,5,May,Spring,10:01:00,10,10:11:00,Undetermined,50 - 100 Meters,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,False,False,UNCH,Elizabeth Oswald,1,5 - 7.5 min,Calling,False,263793.0
Eastern Tufted Titmouse,Baeolophus bicolor,Forest,Forest,ANTI-0092,ANTI,2018,2018-05-24,5,May,Spring,07:09:00,7,07:19:00,Undetermined,<= 50 Meters,14.0,87.4000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,False,False,ETTI,Kimberly Serno,1,0-2.5 min,Singing,False,266957.0
